Uniprot,GeneName
O60664,TIP47
Q15165,PON2
P27169,PON1
P27169,PON
P07738,BPGM
Q6ZRT6,PRR23B
P28827,PTPRM
P28827,PTPRL1
P54829,PTPN5
P43378,PTPN9
P11498,PC
O15315,RAD51B
O15315,RAD51L1
O15315,REC2
Q9HD33,MRPL47
Q9HD33,NCM1
Q9HD33,CGI-204
Q96GC5,MRPL48
Q96GC5,CGI-118
Q96GC5,HSPC290
Q96C74,ROPN1L
Q96C74,ASP
Q96C74,RSPH11
O95602,POLR1A
Q8ND24,RNF214
Q96KT7,SLC35G5
Q96KT7,AMAC
Q96KT7,AMAC1L2
Q8N5S1,SLC25A41
P78383,SLC35B1
P78383,UGTREL1
A6NKX4,SLC22A31
P23526,AHCY
P23526,SAHH
Q969I6,SLC38A4
Q969I6,ATA3
Q969I6,NAT3
Q969I6,SNAT4
Q96QD8,SLC38A2
Q96QD8,ATA2
Q96QD8,KIAA1382
Q96QD8,SAT2
Q96QD8,SNAT2
Q9BXS9,SLC26A6
Q99624,SLC38A3
Q99624,G17
Q99624,NAT1
Q99624,SN1
Q99624,SNAT3
Q9HBR0,SLC38A10
Q9HBR0,PP1744
Q9BSG5,RTBDN
O00337,SLC28A1
O00337,CNT1
W5XKT8,SPACA6
W5XKT8,SPACA6P
W5XKT8,UNQ2487/PRO5774
P33763,S100A5
P33763,S100D
Q8N1S5,SLC39A11
Q8N1S5,C17orf26
Q8N1S5,ZIP11
Q6UXD7,SLC49A3
Q6UXD7,MFSD7
Q6UXD7,LP2561
Q6UXD7,UNQ385/PRO717
Q9UP95,SLC12A4
Q9UP95,KCC1
A6ZKI3,RTL8C
A6ZKI3,CXX1
A6ZKI3,FAM127A
A6ZKI3,MAR8
A6ZKI3,MAR8C
A6ZKI3,MART8
Q9Y6M7,SLC4A7
Q9Y6M7,BT
Q9Y6M7,NBC2
Q9Y6M7,NBC2B
Q9Y6M7,NBC3
Q9Y6M7,NBCn1
Q9Y6M7,SBC2
Q9Y6M7,SLC4A6
Q9Y6R1,SLC4A4
Q9Y6R1,NBC
Q9Y6R1,NBC1
Q9Y6R1,NBCE1
Q9Y285,FARSA
Q9Y285,FARS
Q9Y285,FARSL
Q9Y285,FARSLA
Q9Y399,MRPS2
Q9Y399,CGI-91
A6NIM6,SLC15A5
Q8N2U9,SLC66A2
Q8N2U9,PQLC1
Q2MKA7,RSPO1
P46059,SLC15A1
P46059,PEPT1
Q5SY68,S100A7L2
Q5SY68,S100A7B
P61619,SEC61A1
P61619,SEC61A
Q9H1X1,RSPH9
Q9H1X1,C6orf206
Q9H1X1,MRPS18AL1
P48065,SLC6A12
Q8TBB6,SLC7A14
Q8TBB6,KIAA1613
Q695T7,SLC6A19
Q695T7,B0AT1
P82675,MRPS5
Q9NP91,SLC6A20
Q9NP91,SIT1
Q9NP91,XT3
Q9NP91,XTRP3
P63162,SNRPN
P63162,HCERN3
P63162,SMN
P59025,RTP1
P59025,Z3CXXC1
P82664,MRPS10
P82664,MSTP040
Q7Z5N4,SDK1
P83859,QRFP
Q9NQN1,OR2S2
Q9H7Z3,NRDE2
Q9H7Z3,C14orf102
Q9Y5F7,PCDHGC4
Q9Y5I4,PCDHAC2
Q8NGA5,OR10H4
O60658,PDE8A
Q9HCL0,PCDH18
Q9HCL0,KIAA1562
P12004,PCNA
Q8WW12,PCNP
B3GLJ2,PATE3
Q86WH2,RASSF3
Q9NS23,RASSF1
Q9NS23,RDA32
Q8TD07,RAET1E
Q8TD07,LETAL
Q8TD07,N2DL4
Q8TD07,ULBP4
Q8TD07,UNQ1867/PRO4303
P62826,RAN
P62826,ARA24
P62826,OK/SW-cl.81
P48380,RFX3
Q9P2R6,RERE
Q9P2R6,ARG
Q9P2R6,ARP
Q9P2R6,ATN1L
Q9P2R6,KIAA0458
Q6ZV50,RFX8
Q96D71,REPS1
Q9BVS4,RIOK2
Q9BVS4,RIO2
P30050,RPL12
Q03395,ROM1
Q03395,TSPAN23
Q96E14,RMI2
Q96E14,C16orf75
O75116,ROCK2
O75116,KIAA0619
O76064,RNF8
O76064,KIAA0646
Q5TBB1,RNASEH2B
Q5TBB1,DLEU8
P04844,RPN2
O43159,RRP8
O43159,KIAA0409
O43159,NML
O43159,hucep-1
P10301,RRAS
P62241,RPS8
P62241,OK/SW-cl.83
Q9BPW5,RASL11B
Q8WUG5,SLC22A17
Q8WUG5,BOCT
Q8WUG5,BOIT
Q9NTN3,SLC35D1
Q9NTN3,KIAA0260
Q9NTN3,UGTREL7
Q495N2,SLC36A3
Q495N2,PAT3
Q495N2,TRAMD2
Q9NP92,MRPS30
Q9NP92,PDCD9
Q9NP92,BM-047
Q8NG04,SLC26A10
Q8IZ73,RPUSD2
Q8IZ73,C15orf19
Q5SSQ6,SAPCD1
Q5SSQ6,C6orf26
Q5SSQ6,G7D
Q5SSQ6,NG23
P60896,SEM1
P60896,C7orf76
P60896,DSS1
P60896,SHFDG1
P60896,SHFM1
Q9Y371,SH3GLB1
Q9Y371,KIAA0491
Q9Y371,CGI-61
Q2NKQ1,SGSM1
Q2NKQ1,KIAA1941
Q2NKQ1,RUTBC2
P17482,HOXB9
P17482,HOX2E
A0A0B4J1Y9,IGHV3-72
Q9NWY4,HPF1
Q9NWY4,C4orf27
P0CJ69,MTRNR2L2
P40305,IFI27
P01579,IFNG
Q9NPH3,IL1RAP
Q9NPH3,C3orf13
Q9NPH3,IL1R3
Q8N9C0,IGSF22
Q8NFM7,IL17RD
Q8NFM7,IL17RLM
Q8NFM7,SEF
Q8NFM7,UNQ6115/PRO20026
Q9NSI5,IGSF5
Q9NSI5,JAM4
O95760,IL33
O95760,C9orf26
O95760,IL1F11
O95760,NFHEV
Q96BM0,IFI27L1
Q96BM0,FAM14B
Q5T953,IER5L
P98153,DGCR2
P98153,IDD
P98153,KIAA0163
Q5TF58,IFFO2
Q96RY7,IFT140
Q96RY7,KIAA0590
Q96RY7,WDTC2
P50221,MEOX1
P50221,MOX1
P30301,MIP
P30301,AQP0
P50222,MEOX2
P50222,GAX
P50222,MOX2
Q16819,MEP1A
Q9HAP2,MLXIP
Q9HAP2,BHLHE36
Q9HAP2,KIAA0867
Q9HAP2,MIR
Q9HAP2,MONDOA
Q16820,MEP1B
Q9UH92,MLX
Q9UH92,BHLHD13
Q9UH92,TCFL4
Q8IXI2,RHOT1
Q8IXI2,ARHT1
Q8IXI1,RHOT2
Q8IXI1,ARHT2
Q8IXI1,C16orf39
Q9H081,MIS12
Q9ULR0,ISY1
Q9ULR0,KIAA1160
O75578,ITGA10
O75578,UNQ468/PRO827
Q96DU7,ITPKC
Q96DU7,IP3KC
Q8IV33,KIAA0825
Q8IV33,C5orf36
Q5TA45,INTS11
Q5TA45,CPSF3L
Q5TA45,RC68
Q96L93,KIF16B
Q96L93,C20orf23
Q96L93,KIAA1590
Q96L93,SNX23
P43630,KIR3DL2
P43630,CD158K
P43630,NKAT4
P0DP09,IGKV1-13
P42166,TMPO
P42166,LAP2
P11279,LAMP1
Q53QV2,LBH
Q9BUB5,MKNK1
Q9BUB5,MNK1
O43934,MFSD11
O43934,ET
Q9Y6X9,MORC2
Q9Y6X9,KIAA0852
Q9Y6X9,ZCWCC1
Q96DH6,MSI2
P25713,MT3
P42898,MTHFR
Q8IVL0,NAV3
Q8IVL0,KIAA0938
Q8IVL0,POMFIL1
Q8IVL0,STEERIN3
Q96H55,MYO19
Q96H55,MYOHD1
Q5VVJ2,MYSM1
Q5VVJ2,KIAA1915
Q9ULV0,MYO5B
Q9ULV0,KIAA1119
Q9Y623,MYH4
P02144,MB
P59044,NLRP6
P59044,NALP6
P59044,PYPAF5
Q9NZ94,NLGN3
Q9NZ94,KIAA1480
Q9NZ94,NL3
Q12986,NFX1
Q12986,NFX2
P28336,NMBR
A6NFF2,NAP1L6P
A6NFF2,NAP1L6
Q5HYW2,NHSL2
Q96TA1,NIBAN2
Q96TA1,C9orf88
Q96TA1,FAM129B
Q14112,NID2
Q13253,NOG
Q14934,NFATC4
Q14934,NFAT3
Q9NX24,NHP2
Q9NX24,NOLA2
Q9NX24,HSPC286
P56556,NDUFA6
P56556,LYRM6
P56556,NADHB14
Q9UKK9,NUDT5
Q9UKK9,NUDIX5
Q9UKK9,HSPC115
P54845,NRL
P54845,D14S46E
O14786,NRP1
O14786,NRP
O14786,VEGF165R
Q8WWG1,NRG4
Q9NY59,SMPD3
Q9BV86,NTMT1
Q9BV86,C9orf32
Q9BV86,METTL11A
Q9BV86,NRMT
Q9BV86,NRMT1
Q9BV86,AD-003
Q96E93,KLRG1
Q96E93,CLEC15A
Q96E93,MAFA
Q96E93,MAFAL
Q5T7B8,KIF24
Q5T7B8,C9orf48
Q8IUC1,KRTAP11-1
Q8IUC1,KAP11.1
Q8IUC1,KRTAP11.1
Q9H0B6,KLC2
P60371,KRTAP10-6
P60371,KAP10.6
P60371,KAP18-6
P60371,KRTAP10.6
P60371,KRTAP18-6
P60371,KRTAP18.6
O43526,KCNQ2
Q9NS87,KIF15
Q9NS87,KLP2
Q9NS87,KNSL7
P31323,PRKAR2B
Q9NPI7,KRCC1
Q9NPI7,CHBP2
Q9NPI7,BM-003
Q9NPI7,BM-044
P22001,KCNA3
P22001,HGK5
Q9NVX7,KBTBD4
Q9NVX7,BKLHD4
P04430,IGKV1-16
Q9H9P8,L2HGDH
Q9H9P8,C14orf160
Q96MP8,KCTD7
A2NJV5,IGKV2-29
Q9H825,METTL8
Q8TDZ2,MICAL1
Q8TDZ2,MICAL
Q8TDZ2,NICAL
Q8NHS3,MFSD8
Q8NHS3,CLN7
Q96EN8,MOCOS
O15442,MPPED1
O15442,C22orf1
O15442,FAM1A
P26038,MSN
Q5T3U5,ABCC10
Q5T3U5,MRP7
Q5T3U5,SIMRP7
Q8WXB1,METTL21A
Q8WXB1,FAM119A
Q8WXB1,HCA557B
Q8N9H8,EXD3
Q8N9H8,HBE269
Q8N6N6,NATD1
Q8N6N6,C17orf103
Q8N6N6,GTLF3B
Q9UHF3,NAT8B
Q9UHF3,CML2
P49321,NASP
Q9UKN7,MYO15A
Q9UKN7,MYO15
Q6PIF6,MYO7B
P49821,NDUFV1
P49821,UQOR1
Q8NI08,NCOA7
Q8NI08,ERAP140
Q8NI08,ESNA1
Q8NI08,Nbla00052
Q8NI08,Nbla10993
P61583,ERVK-5
P61583,ERVK5
P78316,NOP14
P78316,C4orf9
P78316,NOL14
P78316,RES4-25
Q9UM47,NOTCH3
P46087,NOP2
P46087,NOL1
P46087,NSUN1
Q92570,NR4A3
Q92570,CHN
Q92570,CSMF
Q92570,MINOR
Q92570,NOR1
Q92570,TEC
Q9HC29,NOD2
Q9HC29,CARD15
Q9HC29,IBD1
Q9GZQ6,NPFFR1
Q9GZQ6,GPR147
Q9GZQ6,NPFF1
P56730,PRSS12
Q16236,NFE2L2
Q16236,NRF2
Q969S2,NEIL2
Q6VVB1,NHLRC1
Q6VVB1,EPM2B
Q16795,NDUFA9
Q16795,NDUFS2L
Q8NGD5,OR4K14
P0C626,OR5G3
P0C626,OR5G3P
P0C626,OR5G6P
Q9GZK3,OR2B2
Q9GZK3,OR2B9
P41145,OPRK1
P41145,OPRK
Q96R67,OR4C12
Q8NGG4,OR8H1
Q96CB9,NSUN4
O60890,OPHN1
P03999,OPN1SW
P03999,BCP
Q6UWF7,NXPE4
Q6UWF7,C11orf33
Q6UWF7,FAM55D
Q6UWF7,UNQ3018/PRO9799
Q96DL1,NXPE2
Q96DL1,FAM55B
Q8NH05,OR4Q3
Q8NH05,C14orf13
Q8NH05,OR4Q4
Q8IXS6,PALM2
Q9P1W9,PIM2
Q8WV24,PHLDA1
Q8WV24,PHRIP
Q8WV24,TDAG51
Q68D20,PMS2CL
Q68D20,PMS2P13
Q8TBJ4,PLPPR1
Q8TBJ4,LPPR1
Q8TBJ4,PRG3
Q8WZA1,POMGNT1
Q8WZA1,MGAT1.2
Q8WZA1,UNQ746/PRO1475
Q7Z6K3,PTAR1
Q9UNM6,PSMD13
Q92613,JADE3
Q92613,KIAA0215
Q92613,PHF16
Q9NQ38,SPINK5
Q86UX2,ITIH5
Q86UX2,KIAA1953
Q86UX2,PP14776
Q86UX2,UNQ311/PRO354
Q5JYT7,KIAA1755
Q9Y624,F11R
Q9Y624,JAM1
Q9Y624,JCAM
Q9Y624,UNQ264/PRO301
O00410,IPO5
O00410,KPNB3
O00410,RANBP5
O14896,IRF6
Q9UNL4,ING4
Q9UNL4,My036
O94953,KDM4B
O94953,JHDM3B
O94953,JMJD2B
O94953,KIAA0876
Q96Q89,KIF20B
Q96Q89,KRMP1
Q96Q89,MPHOSPH1
Q3LI67,KRTAP6-3
Q3LI67,KAP6.3
A0A0C4DH26,IGKV6D-41
Q96ES6,MFSD3
Q9UI43,MRM2
Q9UI43,FJH1
Q9UI43,FTSJ2
Q7Z745,MROH2B
Q7Z745,HEATR7B2
Q8NEH6,MNS1
Q9H579,MROH8
Q9H579,C20orf131
Q9H579,C20orf132
Q96QG7,MTMR9
Q96QG7,C8orf9
Q96QG7,MTMR8
Q9UHG3,PCYOX1
Q9UHG3,KIAA0908
Q9UHG3,PCL1
Q9UHG3,UNQ597/PRO1183
Q13562,NEUROD1
Q13562,BHLHA3
Q13562,NEUROD
Q9NPC7,MYNN
Q9NPC7,OSZF
Q9NPC7,ZBTB31
Q9NPC7,SBBIZ1
Q9Y6X6,MYO16
Q9Y6X6,KIAA0865
Q9Y6X6,MYO16B
Q9Y6X6,NYAP3
Q13232,NME3
Q9NP98,MYOZ1
Q9NP98,MYOZ
A7E2Y1,MYH7B
A7E2Y1,KIAA1512
Q6P3W6,NBPF10
Q02045,MYL5
O14931,NCR3
O14931,1C7
O14931,LY117
Q8NCW5,NAXE
Q8NCW5,AIBP
Q8NCW5,APOA1BP
Q8NCW5,YJEFN1
Q7RTP0,NIPA1
Q7RTP0,SPG6
Q9Y618,NCOR2
Q9Y618,CTG26
P51513,NOVA1
P35228,NOS2
P35228,NOS2A
Q9NPE2,NGRN
Q9NPE2,FI58G
Q9NPE2,HT020
Q14957,GRIN2C
Q14957,NMDAR2C
Q9H6R4,NOL6
Q12980,NPRL3
Q12980,C16orf35
Q12980,CGTHBA
Q12980,MARE
O75380,NDUFS6
Q9BSC4,NOL10
Q8N9A8,CNEP1R1
Q8N9A8,C16orf69
Q8N9A8,TMEM188
O75469,NR1I2
O75469,PXR
Q92617,NPIPB3
Q92617,KIAA0220
Q92617,NPIPL3
Q6UXI9,NPNT
Q6UXI9,EGFL6L
Q6UXI9,POEM
Q6UXI9,UNQ295/PRO334
P52848,NDST1
P52848,HSST
P52848,HSST1
Q7Z417,NUFIP2
Q7Z417,KIAA1321
Q7Z417,PIG1
Q8IVF1,NUTM2A
Q8IVF1,FAM22A
Q8IVF1,KIAA2020
Q8NFH3,NUP43
Q8WUM0,NUP133
Q15615,OR4D1
Q15615,OR4D3
P0C7N1,OR8U8
P35558,PCK1
P35558,PEPCK1
Q8IY26,PLPP6
Q8IY26,PPAPDC2
Q14651,PLS1
Q96CS7,PLEKHB2
Q96CS7,EVT2
P11686,SFTPC
P11686,SFTP2
Q3SYG4,BBS9
Q3SYG4,PTHB1
P46940,IQGAP1
P46940,KIAA0051
Q107X0,KLKP1
Q107X0,KLK31P
Q96AC6,KIFC2
Q02241,KIF23
Q02241,KNSL5
Q02241,MKLP1
Q86W47,KCNMB4
Q7Z3B3,KANSL1
Q7Z3B3,CENP-36
Q7Z3B3,KIAA1267
Q7Z3B3,MSL1V1
Q7Z3B3,NSL1
Q9BV57,ADI1
Q9BV57,MTCBP1
Q9BV57,HMFT1638
Q05655,PRKCD
Q3ZCV2,LEXM
Q3ZCV2,LEM
Q3ZCV2,C1orf177
Q8N2G4,LYPD1
Q8N2G4,LYPDC1
Q8N2G4,PSEC0181
Q8N2G4,UNQ3079/PRO9917
Q96JK9,MAML3
Q96JK9,KIAA1816
O60299,LZTS3
O60299,KIAA0552
O60299,PROSAPIP1
Q8WZA0,LZIC
Q9H8H3,METTL7A
Q9H8H3,PRO0066
Q9H8H3,UNQ1902/PRO4348
Q9NRE1,MMP26
A0A0U1RRL7,MMP24OS
A0A0U1RRL7,MMP24-AS1
P22897,MRC1
P22897,CLEC13D
P22897,CLEC13DL
P22897,MRC1L1
Q96AM1,MRGPRF
Q96AM1,GPR140
Q96AM1,GPR168
Q96AM1,MRGF
Q96AM1,PSEC0142
Q7L9L4,MOB1B
Q7L9L4,MOB4A
Q7L9L4,MOBKL1A
Q8NCU8,MTLN
Q8NCU8,LINC00116
Q8NCU8,NCRNA00116
Q8NCU8,SMIM37
P48039,MTNR1A
P57103,SLC8A3
P57103,NCX3
P60323,NANOS3
P60323,NOS3
Q9BWU0,SLC4A1AP
Q9BWU0,HLC3
P22392,NME2
P22392,NM23B
P51970,NDUFA8
O00483,NDUFA4
Q02818,NUCB1
Q02818,NUC
Q6IQ23,PLEKHA7
O95848,NUDT14
O95848,UGPP
Q5VVY1,METTL11B
Q5VVY1,C1orf184
Q5VVY1,NRMT2
Q8WZ94,OR5P3
Q8NGR2,OR1L6
Q8NGR2,OR1L7
Q15738,NSDHL
Q15738,H105E3
Q8NGN0,OR4D5
Q8NH21,OR4F5
Q9P1Q5,OR1A1
Q9H4D5,NXF3
Q9H4D5,TAPL3
Q8NGJ5,OR51L1
Q6NXP6,NOXRED1
Q6NXP6,C14orf148
A6NHG9,OR5H14
Q8NGE0,OR10AD1
Q8NGE0,OR10AD1P
Q9Y4A9,OR10H1
Q8NGK6,OR52I1
Q8NHC5,OR14A16
Q8NHC5,OR5AT1
Q9UP65,PLA2G4C
Q9Y619,SLC25A15
Q9Y619,ORC1
Q9Y619,ORNT1
Q9Y619,SP1855
Q9Y5F8,PCDHGB7
Q9UNF0,PACSIN2
Q86YL7,PDPN
Q86YL7,GP36
Q86YL7,PSEC0003
Q86YL7,PSEC0025
Q8WXW3,PIBF1
Q8WXW3,C13orf24
Q8WXW3,PIBF
Q86YP4,GATAD2A
Q13258,PTGDR
O15530,PDPK1
O15530,PDK1
Q9UL41,PNMA3
Q9UL41,MA3
O00592,PODXL
O00592,PCLP
O00592,PCLP1
P63133,ERVK-8
Q96M27,PRRC1
Q8TC59,PIWIL2
Q8TC59,HILI
P04070,PROC
P07988,SFTPB
P07988,SFTP3
P12272,PTHLH
P12272,PTHRP
Q5JS54,PSMG4
Q5JS54,C6orf86
Q5JS54,PAC4
Q6GMV3,PTRHD1
Q6GMV3,C2orf79
Q92729,PTPRU
Q92729,FMI
Q92729,PCP2
Q92729,PTPRO
P0C7L1,SPINK8
P18084,ITGB5
Q0VF49,KIAA2012
Q14532,KRT32
Q14532,HHA2
Q14532,HKA2
Q14532,KRTHA2
P28290,ITPRID2
P28290,CS1
P28290,KIAA1927
P28290,KRAP
P28290,SSFA2
P49441,INPP1
O15327,INPP4B
Q9BY32,ITPA
Q9BY32,C20orf37
Q9BY32,My049
Q9BY32,OK/SW-cl.9
P05111,INHA
A1A4Y4,IRGM
A1A4Y4,IFI1
A1A4Y4,IRGM1
A1A4Y4,LRG47
Q96NJ5,KLHL32
Q96NJ5,BKLHD5
Q96NJ5,KIAA1900
Q7Z7F0,KHDC4
Q7Z7F0,BLOM7
Q7Z7F0,KIAA0907
Q7Z7F0,SNORA80EHG
Q13557,CAMK2D
Q13557,CAMKD
Q86SY8,KTN1-AS1
Q86SY8,C14orf33
Q96L42,KCNH8
P33176,KIF5B
P33176,KNS
P33176,KNS1
Q14012,CAMK1
Q9P2N6,KANSL3
Q9P2N6,KIAA1310
Q9P2N6,NSL3
Q9P2N6,PRTD
Q9P2N6,SI1
A5PL33,KRBA1
A5PL33,KIAA1862
P30085,CMPK1
P30085,CMK
P30085,CMPK
P30085,UCK
P30085,UMK
P30085,UMPK
Q6ZNG9,KRBA2
P0DSN7,IGKV1D-37
P01611,IGKV1D-12
Q6UYE1,DLEU7
Q6UYE1,LEU7
Q86YQ2,BPIFA4P
Q86YQ2,BASE
Q86YQ2,LATH
Q6DKI2,LGALS9C
O75610,LEFTY1
O75610,LEFTB
O75610,LEFTYB
O75610,UNQ278/PRO317
Q9BWQ8,FAIM2
Q9BWQ8,KIAA0950
Q9BWQ8,LFG
Q9BWQ8,LFG2
Q9BWQ8,NMP35
Q9BWQ8,TMBIM2
O95202,LETM1
Q8IX19,MCEMP1
Q8IX19,C19orf59
O43708,GSTZ1
O43708,MAAI
Q49MG5,MAP9
Q49MG5,ASAP
Q13233,MAP3K1
Q13233,MAPKKK1
Q13233,MEKK
Q13233,MEKK1
Q9BY19,MS4A8
Q9BY19,4SPAN4
Q9BY19,MS4A8B
P57077,MAP3K7CL
P57077,C21orf7
P57077,TAK1L
Q9NX47,MARCHF5
Q9NX47,MARCH5
Q9NX47,RNF153
Q96JG8,MAGED4
Q96JG8,KIAA1859
Q96JG8,MAGED4A
Q96JG8,MAGEE1;
Q96JG8,MAGED4B
Q5J8X5,MS4A13
P61244,MAX
P61244,BHLHD4
P21145,MAL
A6NDZ8,MBD3L4
Q8IZL2,MAML2
Q8IZL2,KIAA1819
Q13495,MAMLD1
Q13495,CG1
Q13495,CXorf6
Q96EY5,MVB12A
Q96EY5,CFBP
Q96EY5,FAM125A
Q9H1A3,METTL9
Q9H1A3,DREV
Q9H1A3,CGI-81
Q96QH8,SPACA5
Q96QH8,LYZL5
Q96QH8,SPACA5A
Q96QH8,UNQ6288/PRO20753;
Q96QH8,SPACA5B
P43355,MAGEA1
P43355,MAGE1
P43355,MAGE1A
P43356,MAGEA2
P43356,MAGE2
P43356,MAGEA2A;
P43356,MAGEA2B
P43356,MAGE2
P43356,MAGEA2
P20700,LMNB1
P20700,LMN2
P20700,LMNB
Q96S90,LYSMD1
Q96S90,SB145
O15479,MAGEB2
Q92686,NRGN
Q8N912,NRAC
Q8N912,C14orf180
Q8N912,C14orf77
O75900,MMP23B
O75900,MMP21
O75900,MMP22
P39900,MMP12
P39900,HME
Q13614,MTMR2
Q13614,KIAA1073
Q8N1T3,MYO1H
Q01538,MYT1
Q01538,KIAA0835
Q01538,KIAA1050
Q01538,MTF1
Q01538,MYTI
Q01538,PLPB1
Q8TD19,NEK9
Q8TD19,KIAA1995
Q8TD19,NEK8
Q8TD19,NERCC
Q8NBF2,NHLRC2
Q96G61,NUDT11
Q96G61,APS1
Q96G61,DIPP3B
Q86X67,NUDT13
Q0GE19,SLC10A7
Q0GE19,C4orf13
Q0GE19,P7
Q0GE19,PSEC0051
P53370,NUDT6
P53370,FGF2AS
P03915,MT-ND5
P03915,MTND5
P03915,NADH5
P03915,ND5
Q9HC10,OTOF
Q9HC10,FER1L2
Q86Y26,NUTM1
Q86Y26,C15orf55
Q86Y26,NUT
P0C7N8,OR9G9
Q8NH94,OR1L1
Q8NH94,OR1L2
Q9GZM6,OR8D2
Q8NGJ4,OR52E2
Q8NGN6,OR10G7
Q8NGX3,OR10T2
Q8NGK2,OR52B4
Q9H208,OR10A2
Q9H208,OR10A2P
P0C6T2,OST4
Q8NGF4,OR5AP2
Q8NGN3,OR10G4
Q9Y5P8,PPP2R3B
Q9Y5P8,PPP2R3L
P0DN81,OR13C7
P0DN81,OR13C7P
A1E959,ODAM
A1E959,APIN
Q9BYE7,PCGF6
Q9BYE7,MBLR
Q9BYE7,RNF134
Q5T2S8,ODAD2
Q5T2S8,ARMC4
Q9UGF5,OR14J1
Q9UGF5,OR5U1
Q8WVF1,OSCP1
Q8WVF1,C1orf102
Q8WVF1,NOR1
Q8NGY9,OR2L8
Q9HCR9,PDE11A
Q01064,PDE1B
Q01064,PDE1B1
Q01064,PDES1B
Q9Y5H2,PCDHGA11
A0A0X1KG70,OR4M2B
P40855,PEX19
P40855,HK33
P40855,PXF
P40855,OK/SW-cl.22
Q14442,PIGH
Q8TCI5,PIFO
Q8TCI5,C1orf88
P54886,ALDH18A1
P54886,GSAS
P54886,P5CS
P54886,PYCS
Q86X59,LINC02875
Q86X59,C17orf82
Q6VVX0,CYP2R1
P61566,ERVK-24
Q9NT22,EMILIN3
Q9NT22,C20orf130
Q9NT22,EMILIN5
Q6EEV4,POLR2M
Q6EEV4,GRINL1A
Q9NQX3,GPHN
Q9NQX3,GPH
Q9NQX3,KIAA1385
Q9NS66,GPR173
Q9NS66,SREB3
P63092,GNAS
P63092,GNAS1
P63092,GSP
Q7Z5G4,GOLGA7
Q7Z5G4,GCP16
Q7Z5G4,HDCKB03P
Q7Z5G4,HSPC041
P51810,GPR143
P51810,OA1
P48637,GSS
P11169,SLC2A3
P11169,GLUT3
Q71UI9,H2AZ2
Q71UI9,H2AFV
Q71UI9,H2AV
Q9UBI9,HECA
Q9UBI9,HDC
Q58FF7,HSP90AB3P
Q58FF7,HSP90BC
P31269,HOXA9
P31269,HOX1G
O60921,HUS1
Q99081,TCF12
Q99081,BHLHB20
Q99081,HEB
Q99081,HTF4
P0DTW3,IGHV1-38-4
P0DTW3,IGHV1-C
Q9UJY1,HSPB8
Q9UJY1,CRYAC
Q9UJY1,E2IG1
Q9UJY1,HSP22
Q9UJY1,PP1629
Q9BUJ2,HNRNPUL1
Q9BUJ2,E1BAP5
Q9BUJ2,HNRPUL1
P32881,IFNA8
Q14005,IL16
Q9NWZ3,IRAK4
Q8WWU7,ITLN2
Q8WWU7,UNQ2789/PRO7179
Q06033,ITIH3
P17275,JUNB
Q8NBE8,KLHL23
Q8N239,KLHL34
P15382,KCNE1
Q2KJY2,KIF26B
Q9NSB4,KRT82
Q9NSB4,KRTHB2
Q5SVS4,SLC25A30
Q5SVS4,KMCP1
B7ZC32,KIF28P
B7ZC32,KLP6
Q9BYR2,KRTAP4-5
Q9BYR2,KAP4.5
Q9BYR2,KRTAP4.5
Q9BYQ7,KRTAP4-1
Q9BYQ7,KAP4.10
Q9BYQ7,KRTAP4-10
Q9BYQ7,KRTAP4.1
Q9BYQ7,KRTAP4.10
Q9NPI9,KCNJ16
Q6L8H1,KRTAP5-4
Q6L8H1,KAP5.4
Q6L8H1,KRTAP5.4
Q3LI64,KRTAP6-1
Q3LI64,C21orf103
Q3LI64,KAP6.1
O60256,PRPSAP2
P04432,IGKV1D-39
P12532,CKMT1A
P12532,CKMT;
P12532,CKMT1B
P12532,CKMT
Q9UBD5,ORC3
Q9UBD5,LATHEO
Q9UBD5,ORC3L
Q9H6K4,OPA3
A0A2R8YFM6,OOSP3
Q8NGI9,OR5A2
O43614,HCRTR2
Q16620,NTRK2
Q16620,TRKB
P47890,OR1G1
P47890,OR1G2
P0DMB1,PRR23D2
Q96R28,OR2M2
Q6ZW49,PAXIP1
Q6ZW49,PAXIP1L
Q6ZW49,PTIP
Q6ZW49,CAGF28
Q96FC7,PHYHIPL
Q96FC7,KIAA1796
Q96FC7,UNQ6309/PRO20934
Q8WUA2,PPIL4
Q92871,PMM1
Q92871,PMMH22
Q9UQG0,ERVK-11
O14939,PLD2
Q96HM7,PCED1B
Q96HM7,FAM113B
O95521,PRAMEF1
O95522,PRAMEF12
Q6P2Q9,PRPF8
Q6P2Q9,PRPC8
Q9NRG1,PRTFDC1
Q9NRG1,HHGP
Q9H7J1,PPP1R3E
Q9UJV8,PURG
O43653,PSCA
O43653,UNQ206/PRO232
Q9UKA9,PTBP2
Q9UKA9,NPTB
Q9UKA9,PTB
Q9UKA9,PTBLP
P78395,PRAME
P78395,MAPE
P78395,OIP4
Q14671,PUM1
Q14671,KIAA0099
Q14671,PUMH1
P21246,PTN
P21246,HBNF1
P21246,NEGF1
P0DMW2,NLRP2B
P0DMW2,CLRX.1
P0DMW2,NLRP2P
P0DMW2,NOD24
P0DMW2,POP4
Q14807,KIF22
Q14807,KID
Q14807,KNSL4
Q9H7L2,KIR3DX1
Q9H7L2,KIR3DL0
Q9H7L2,LENG12
Q03426,MVK
